iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
LBR,Liberia,0.00,28768597.77,28768597.77,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/liberia.html
LBY,Libya,0.00,4841592046.00,4841592046.00,encours,
LCA,Saint Lucia,326457.90,0.00,326457.90,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/sainte-lucie.html
LKA,Sri Lanka,3455164982.00,1458604746.00,4913769728.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/sri-lanka.html
LSO,Lesotho,2229475.51,0.00,2229475.51,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/lesotho.html
MAR,Morocco,7645495248.00,611399949.70,8256895197.70,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/maroc.html
MDA,Moldova,467601966.20,14596515.91,482198482.11,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/moldavie.html
MDG,Madagascar,434766203.40,30079288.27,464845491.67,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/madagascar.html
MDV,Maldives,43106994.26,0.00,43106994.26,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/maldives.html
MEX,Mexico,2788548716.00,470000.00,2789018716.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/mexique.html
MKD,North Macedonia,176347176.00,0.00,176347176.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/macedoine-du-nord.html
MLI,Mali,296644487.80,42909106.72,339553594.52,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/mali.html
MMR,Myanmar,4247503100.00,839252214.60,5086755314.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/myanmar.html
MNE,Montenegro,123625826.10,31550656.63,155176482.73,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/montenegro.html
MNG,Mongolia,1417609487.00,0.00,1417609487.00,encours,
MOZ,Mozambique,874898256.90,302620600.50,1177518857.40,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/mozambique.html
MRT,Mauritania,76914958.73,49180000.00,126094958.73,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/mauritanie.html
MUS,Mauritius,785501593.90,0.00,785501593.90,encours,
MWI,Malawi,818975.00,0.00,818975.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/malawi.html
MYS,Malaysia,909121022.30,9646401.78,918767424.08,encours,
NAM,Namibia,293782517.30,18234257.66,312016774.96,encours,
NER,Niger,257716169.30,0.00,257716169.30,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/niger.html
NGA,Nigeria,1206116141.00,49526250.01,1255642391.01,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/nigeria.html
NIC,Nicaragua,379142039.10,26787714.50,405929753.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/nicaragua.html
NPL,Nepal,443058482.60,0.00,443058482.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/nepal.html
OMN,Oman,0.00,15290000.00,15290000.00,encours,
PAK,Pakistan,5496891552.00,215617609.10,5712509161.10,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/pakistan.html
PAN,Panama,614719781.60,457676112.00,1072395893.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/panama.html
PER,Peru,1646498263.00,67503747.35,1714002010.35,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/perou.html
PHL,Philippines,10946345743.00,0.00,10946345743.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/philippines.html
PLW,Palau,0.00,5134204.00,5134204.00,encours,
PNG,Papua New Guinea,441515290.60,1953088327.00,2394603617.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/papouasie-nouvelle-guinee.html
POL,Poland,2309604211.00,4547144181.00,6856748392.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/pologne.html
PRK,D. P. R. of Korea,53385860.52,2019142839.00,2072528699.52,encours,
PRY,Paraguay,282351903.10,29257500.00,311609403.10,encours,
